pairing_id,therapist_id,patient_id
1,therapist_char,1
2,therapist_gpt_limited,1
3,therapist_gpt_full,1
4,therapist_gemini_full,1
5,therapist_gemini_harm,1
6,therapist_psych_material,1
7,therapist_char,2
8,therapist_gpt_limited,2
9,therapist_gpt_full,2
10,therapist_gemini_full,2
11,therapist_gemini_harm,2
12,therapist_psych_material,2
13,therapist_char,3
14,therapist_gpt_limited,3
15,therapist_gpt_full,3
16,therapist_gemini_full,3
17,therapist_gemini_harm,3
18,therapist_psych_material,3
19,therapist_char,4
20,therapist_gpt_limited,4
21,therapist_gpt_full,4
22,therapist_gemini_full,4
23,therapist_gemini_harm,4
24,therapist_psych_material,4
25,therapist_char,5
26,therapist_gpt_limited,5
27,therapist_gpt_full,5
28,therapist_gemini_full,5
29,therapist_gemini_harm,5
30,therapist_psych_material,5
31,therapist_char,6
32,therapist_gpt_limited,6
33,therapist_gpt_full,6
34,therapist_gemini_full,6
35,therapist_gemini_harm,6
36,therapist_psych_material,6
37,therapist_char,7
38,therapist_gpt_limited,7
39,therapist_gpt_full,7
40,therapist_gemini_full,7
41,therapist_gemini_harm,7
42,therapist_psych_material,7
43,therapist_char,8
44,therapist_gpt_limited,8
45,therapist_gpt_full,8
46,therapist_gemini_full,8
47,therapist_gemini_harm,8
48,therapist_psych_material,8
49,therapist_char,9
50,therapist_gpt_limited,9
51,therapist_gpt_full,9
52,therapist_gemini_full,9
53,therapist_gemini_harm,9
54,therapist_psych_material,9
55,therapist_char,10
56,therapist_gpt_limited,10
57,therapist_gpt_full,10
58,therapist_gemini_full,10
59,therapist_gemini_harm,10
60,therapist_psych_material,10
61,therapist_char,11
62,therapist_gpt_limited,11
63,therapist_gpt_full,11
64,therapist_gemini_full,11
65,therapist_gemini_harm,11
66,therapist_psych_material,11
67,therapist_char,12
68,therapist_gpt_limited,12
69,therapist_gpt_full,12
70,therapist_gemini_full,12
71,therapist_gemini_harm,12
72,therapist_psych_material,12
73,therapist_char,13
74,therapist_gpt_limited,13
75,therapist_gpt_full,13
76,therapist_gemini_full,13
77,therapist_gemini_harm,13
78,therapist_psych_material,13
79,therapist_char,14
80,therapist_gpt_limited,14
81,therapist_gpt_full,14
82,therapist_gemini_full,14
83,therapist_gemini_harm,14
84,therapist_psych_material,14
85,therapist_char,15
86,therapist_gpt_limited,15
87,therapist_gpt_full,15
88,therapist_gemini_full,15
89,therapist_gemini_harm,15
90,therapist_psych_material,15
91,therapist_char,1
92,therapist_gpt_limited,1
93,therapist_gpt_full,1
94,therapist_gemini_full,1
95,therapist_gemini_harm,1
96,therapist_psych_material,1
97,therapist_char,2
98,therapist_gpt_limited,2
99,therapist_gpt_full,2
100,therapist_gemini_full,2
101,therapist_gemini_harm,2
102,therapist_psych_material,2
103,therapist_char,3
104,therapist_gpt_limited,3
105,therapist_gpt_full,3
106,therapist_gemini_full,3
107,therapist_gemini_harm,3
108,therapist_psych_material,3
109,therapist_char,4
110,therapist_gpt_limited,4
111,therapist_gpt_full,4
112,therapist_gemini_full,4
113,therapist_gemini_harm,4
114,therapist_psych_material,4
115,therapist_char,5
116,therapist_gpt_limited,5
117,therapist_gpt_full,5
118,therapist_gemini_full,5
119,therapist_gemini_harm,5
120,therapist_psych_material,5
121,therapist_char,6
122,therapist_gpt_limited,6
123,therapist_gpt_full,6
124,therapist_gemini_full,6
125,therapist_gemini_harm,6
126,therapist_psych_material,6
127,therapist_char,7
128,therapist_gpt_limited,7
129,therapist_gpt_full,7
130,therapist_gemini_full,7
131,therapist_gemini_harm,7
132,therapist_psych_material,7
133,therapist_char,8
134,therapist_gpt_limited,8
135,therapist_gpt_full,8
136,therapist_gemini_full,8
137,therapist_gemini_harm,8
138,therapist_psych_material,8
139,therapist_char,9
140,therapist_gpt_limited,9
141,therapist_gpt_full,9
142,therapist_gemini_full,9
143,therapist_gemini_harm,9
144,therapist_psych_material,9
145,therapist_char,10
146,therapist_gpt_limited,10
147,therapist_gpt_full,10
148,therapist_gemini_full,10
149,therapist_gemini_harm,10
150,therapist_psych_material,10
151,therapist_char,11
152,therapist_gpt_limited,11
153,therapist_gpt_full,11
154,therapist_gemini_full,11
155,therapist_gemini_harm,11
156,therapist_psych_material,11
157,therapist_char,12
158,therapist_gpt_limited,12
159,therapist_gpt_full,12
160,therapist_gemini_full,12
161,therapist_gemini_harm,12
162,therapist_psych_material,12
163,therapist_char,1
164,therapist_gpt_limited,1
165,therapist_gpt_full,1
166,therapist_gemini_full,1
167,therapist_gemini_harm,1
168,therapist_psych_material,1
169,therapist_char,2
170,therapist_gpt_limited,2
171,therapist_gpt_full,2
172,therapist_gemini_full,2
173,therapist_gemini_harm,2
174,therapist_psych_material,2
175,therapist_char,3
176,therapist_gpt_limited,3
177,therapist_gpt_full,3
178,therapist_gemini_full,3
179,therapist_gemini_harm,3
180,therapist_psych_material,3
